keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Erdbeben Trümmer',de,Impacts,#a89216,#a89216,1,0.2505256758401625
'Erdbeben Verwerfung',de,Causes,#679e2c,#7db344,1,0.2187554285734014
'schweres Erdbeben',de,Hazard,#4287f5,#638ed4,2,0.1655014909419741
'Erdbeben Schäden',de,Impacts,#a89216,#87830f,3,0.1183028162460485
'Erdbeben Rettungskräfte',de,Mitigation,#9e3215,#d64118,2,0.1182718598938619
'Erdbeben Tote',de,Impacts,#a89216,#87830f,2,0.1079967632007212
'Erdbeben Erdplatte',de,Causes,#679e2c,#679e2c,1,0.1045815399586844
'Erdbeben verschüttet',de,Impacts,#a89216,#a89216,1,0.0984268575575629
'Erdbeben Epizentrum',de,Hazard,#4287f5,#3b4a63,2,0.0980621207292506
'Erdbeben',de,Hazard,#4287f5,#638ed4,3,0.097684659373769
'Erdbeben Verletzte',de,Impacts,#a89216,#87830f,1,0.0974321292183445
'starkes Erdbeben',de,Hazard,#4287f5,#638ed4,1,0.0875706850374185
'Erdbeben Hilfsgüter',de,Mitigation,#9e3215,#802d16,1,0.075428491390917
'Erdbeben Spenden',de,Mitigation,#9e3215,#802d16,1,0.0468543478090956
'Erdbeben Überlebende',de,Mitigation,#9e3215,#9e3215,1,0.0457875403105315
'Erdbeben Rettungsarbeiten',de,Mitigation,#9e3215,#b55035,1,0.0127166355405807
'erdbebensicher',de,Mitigation,#9e3215,#802d16,1,0.010326035219501773
'Erdbeben Aufräumarbeiten',de,Mitigation,#9e3215,#9e3215,1,0.007212160224752
'Schwarmbeben',de,Hazard,#4287f5,#3b4a63,1,0.0014287797686917
'Erdbeben Plattengrenze',de,Causes,#679e2c,#61b00c,1,9.185245476905e-05
'Erdbeben Platten Tektonik',de,Causes,#679e2c,#477515,1,4.311732557259479e-05
'Erdbeben Scherzone',de,Causes,#679e2c,#7db344,1,3.478324057901788e-07
