,phrase,label,sentiment,subjectivity,language,count
+++Tsunami-Warnung,+++Tsunami-Warnung,ORG,1.2031250000000004,0.0,de,6.399999999999999
Großraum Tokio,Großraum Tokio,ORG,0.30434782608695654,0.0,de,4.6
Tsunami,Tsunami,ORG,0.0,0.0,de,2.8
Tsunami-Gefahr,Tsunami-Gefahr,ORG,-0.25,0.0,de,2.8
Russland…,Russland…,ORG,0.0,0.0,de,1.9
Tsunami Lissabon,Tsunami Lissabon,ORG,0.0,0.0,de,1.9
picture alliance,picture alliance,ORG,0.0,0.0,de,1.9
ASSOCIATED PRESS,ASSOCIATED PRESS,ORG,0.0,0.0,de,1.9
Meteorologiebehörde,Meteorologiebehörde,ORG,0.0,0.0,de,1.0
Capcom,Capcom,ORG,-1.0,0.0,de,1.0
infol…,infol…,ORG,0.0,0.0,de,1.0
Nordo…,Nordo…,ORG,0.0,0.0,de,1.0
TV,TV,ORG,-0.7,0.0,de,1.0
Asahi Shimbun,Asahi Shimbun,ORG,0.0,0.0,de,1.0
Big Tech,Big Tech,ORG,0.0,0.0,de,1.0
bild…,bild…,ORG,0.7,0.0,de,1.0
Gesellschaft bedrohen,Gesellschaft bedrohen,ORG,0.0,0.0,de,1.0
unerbittli…,unerbittli…,ORG,-0.7,0.0,de,1.0
Zyklon Ditwah,Zyklon Ditwah,ORG,0.0,0.0,de,1.0
Sumatra,Sumatra,ORG,0.0,0.0,de,1.0
GEO,GEO,ORG,1.0,0.0,de,1.0
Nasa,Nasa,ORG,0.0,0.0,de,1.0
rechtz…,rechtz…,ORG,-1.0,0.0,de,1.0
Üb…,Üb…,ORG,-1.0,0.0,de,1.0
ntv.de,ntv.de,ORG,0.0,0.0,de,1.0
AfD,AfD,ORG,0.0,0.0,de,1.0
